Batch Id,mlp_up_proj,mlp_activation,mlp_down_proj,mlp_down_proj_all_reduce,attn_pre_proj,attn_post_proj,attn_post_proj_all_reduce,attn_prefill,attn_kv_cache_save,attn_decode,attn_rope,pipeline_send_recv,add,input_layernorm,post_attention_layernorm,schedule,sample_e2e,prepare_inputs_e2e,model_execution_e2e,process_model_outputs,ray_comm_time,replica
45,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
47,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
49,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
50,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
53,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
55,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
58,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
61,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
64,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
67,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
71,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
73,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
76,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
80,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.040579,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.706240,0,0,0
