Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica,__source__
68,48.374127,0.089251,18.759101,0.034611,18.759101,0.034611,0.0,29.615026,18.759101,0.034611,29.969277,0.004658,0.354251,5.5e-05,0.033957,0.015651,6976.0,6434.0,512.0,542.0,11.870849,0.0,32.618345,0,baseline
69,45.466659,0.103569,15.815118,0.036025,15.815118,0.036025,0.0,29.651541,15.815118,0.036025,30.174631,0.003375,0.523091,5.9e-05,0.034834,0.286987,9380.0,8941.0,512.0,439.0,20.366743,0.0,32.905332,0,baseline
70,44.261172,0.11437,14.239794,0.036795,14.239794,0.036795,0.0,30.021378,14.239794,0.036795,30.546306,0.003446,0.524928,5.9e-05,0.035439,0.120771,9251.0,8864.0,512.0,387.0,22.904393,0.0,33.026103,0,baseline
71,39.604713,0.167108,9.353122,0.039465,9.353122,0.039465,0.0,30.251591,9.353122,0.039465,31.049082,0.00245,0.797491,6.3e-05,0.0361,0.262571,12908.0,12671.0,512.0,237.0,53.464135,0.0,33.288674,0,baseline
72,53.700974,0.089056,23.64726,0.039216,23.64726,0.039216,0.0,30.053714,23.64726,0.039216,32.185385,0.00112,2.131671,7.4e-05,0.035681,0.960034,29329.0,28726.0,512.0,603.0,47.638474,0.0,34.248708,0,baseline
73,34.074663,11.358221,2.070245,0.690082,2.070245,0.690082,0.0,32.004417,2.070245,0.690082,34.02163,0.001242,2.017213,7.4e-05,0.017678,0.133247,27406.0,27403.0,512.0,3.0,9134.333333,0.0,34.381955,0,baseline
74,45.929632,0.132362,11.984405,0.034537,11.984405,0.034537,0.0,33.945227,11.984405,0.034537,34.098915,0.012892,0.153688,5.8e-05,0.034094,0.030036,2992.0,2645.0,512.0,347.0,7.622478,0.0,34.411991,0,baseline
75,45.221158,0.177338,11.315012,0.044373,11.315012,0.044373,0.0,33.906146,11.315012,0.044373,36.824376,0.000997,2.91823,7.9e-05,0.032929,0.165214,37189.0,36934.0,512.0,255.0,144.839216,0.0,34.577205,0,baseline
76,46.171688,0.159213,9.573331,0.033011,9.573331,0.033011,0.0,36.598356,9.573331,0.033011,36.726805,0.01897,0.128448,6.6e-05,0.032569,0.173782,2226.0,1936.0,512.0,290.0,6.675862,0.0,34.750987,0,baseline
77,50.661584,0.130908,14.503105,0.037476,14.503105,0.037476,0.0,36.158479,14.503105,0.037476,37.356283,0.002008,1.197804,6.4e-05,0.034381,0.542231,18991.0,18604.0,512.0,387.0,48.072351,0.0,35.293218,0,baseline
78,58.971922,0.109613,22.061542,0.041007,22.061542,0.041007,0.0,36.91038,22.061542,0.041007,39.652226,0.001113,2.741845,7.7e-05,0.03591,0.407129,36176.0,35638.0,512.0,538.0,66.241636,0.0,35.700348,0,baseline
79,40.38514,0.841357,1.550663,0.032305,1.550663,0.032305,0.0,38.834477,1.550663,0.032305,38.937373,0.02656,0.102896,7e-05,0.030162,0.766003,1514.0,1466.0,512.0,48.0,30.541667,0.0,36.46635,0,baseline
80,63.075574,0.100279,24.709939,0.039284,24.709939,0.039284,0.0,38.365635,24.709939,0.039284,39.403232,0.002408,1.037596,6.3e-05,0.037635,0.545789,16993.0,16364.0,512.0,629.0,26.015898,0.0,37.012139,0,baseline
81,64.245303,0.101654,25.140632,0.039779,25.140632,0.039779,0.0,39.104671,25.140632,0.039779,39.675106,0.004068,0.570436,5.8e-05,0.038877,0.260764,10386.0,9754.0,512.0,632.0,15.433544,0.0,37.272903,0,baseline
82,56.558308,0.122953,17.756829,0.038602,17.756829,0.038602,0.0,38.801478,17.756829,0.038602,39.63683,0.002949,0.835352,6.2e-05,0.036786,0.841059,13899.0,13439.0,512.0,460.0,29.215217,0.0,38.113962,0,baseline
83,53.560225,0.155247,14.050233,0.040725,14.050233,0.040725,0.0,39.509992,14.050233,0.040725,40.677657,0.002221,1.167665,6.4e-05,0.037341,0.091345,18656.0,18311.0,512.0,345.0,53.075362,0.0,38.205307,0,baseline
84,41.124042,41.124042,0.496679,0.496679,0.496679,0.496679,0.0,40.627363,0.496679,0.496679,41.124042,0.004812,0.496679,5.8e-05,0.0,0.011487,8547.0,8546.0,512.0,1.0,8546.0,0.0,38.216794,0,baseline
85,67.214047,0.112775,26.169081,0.043908,26.169081,0.043908,0.0,41.044966,26.169081,0.043908,41.730728,0.003704,0.685763,6.1e-05,0.042757,0.047182,11861.0,11265.0,512.0,596.0,18.901007,0.0,38.263975,0,baseline
86,55.203359,0.152495,14.146954,0.03908,14.146954,0.03908,0.0,41.056406,14.146954,0.03908,41.331183,0.00818,0.274777,5.4e-05,0.038321,0.640714,5415.0,5053.0,512.0,362.0,13.958564,0.0,38.904689,0,baseline
87,64.20631,0.138376,23.213783,0.05003,23.213783,0.05003,0.0,40.992527,23.213783,0.05003,44.57671,0.001031,3.584184,8.3e-05,0.042305,0.309834,43698.0,43234.0,512.0,464.0,93.176724,0.0,39.214523,0,baseline
88,46.118523,1.356427,1.687487,0.049632,1.687487,0.049632,0.0,44.431036,1.687487,0.049632,45.113479,0.004097,0.682443,6.2e-05,0.02956,0.087934,11046.0,11012.0,512.0,34.0,323.882353,0.0,39.302458,0,baseline
89,67.279956,0.136748,22.547993,0.045829,22.547993,0.045829,0.0,44.731963,22.547993,0.045829,45.605675,0.003228,0.873712,6.2e-05,0.044053,0.347619,14620.0,14128.0,512.0,492.0,28.715447,0.0,39.650077,0,baseline
90,76.395927,0.139155,30.909161,0.056301,30.909161,0.056301,0.0,45.486765,30.909161,0.056301,49.943965,0.000991,4.4572,8.8e-05,0.048182,0.082621,50963.0,50414.0,512.0,549.0,91.82878,0.0,39.732698,0,baseline
91,70.245945,0.15965,20.960601,0.047638,20.960601,0.047638,0.0,49.285344,20.960601,0.047638,50.452172,0.002869,1.166828,6.6e-05,0.044986,0.595891,18023.0,17583.0,512.0,440.0,39.961364,0.0,40.328589,0,baseline
92,83.448761,0.148222,33.330779,0.059202,33.330779,0.059202,0.0,50.117982,33.330779,0.059202,51.580054,0.002387,1.462072,6.8e-05,0.056605,0.295436,22169.0,21606.0,512.0,563.0,38.376554,0.0,40.624026,0,baseline
93,78.456112,0.175125,27.157879,0.06062,27.157879,0.06062,0.0,51.298232,27.157879,0.06062,53.528808,0.001798,2.230575,7.5e-05,0.055641,0.239842,30225.0,29777.0,512.0,448.0,66.466518,0.0,40.863868,0,baseline
94,55.625224,1.589292,2.324268,0.066408,2.324268,0.066408,0.0,53.300955,2.324268,0.066408,54.505756,0.003034,1.2048,6.7e-05,0.031985,0.179419,18000.0,17965.0,512.0,35.0,513.285714,0.0,41.043287,0,baseline
95,95.678731,0.140086,41.710379,0.061069,41.710379,0.061069,0.0,53.968352,41.710379,0.061069,63.300552,0.000765,9.3322,0.000113,0.047406,0.497508,83471.0,82788.0,512.0,683.0,121.212299,0.0,41.540795,0,baseline
96,93.212899,0.161268,30.223734,0.05229,30.223734,0.05229,0.0,62.989165,30.223734,0.05229,64.968232,0.002446,1.979067,7.5e-05,0.048866,0.224562,27135.0,26557.0,512.0,578.0,45.946367,0.0,41.765356,0,baseline
97,105.771759,0.182365,40.895981,0.07051,40.895981,0.07051,0.0,64.875778,40.895981,0.07051,81.820219,0.000675,16.944441,0.00014,0.041296,0.045866,121725.0,121145.0,512.0,580.0,208.87069,0.0,41.811222,0,baseline
98,103.800849,0.201947,22.159397,0.043112,22.159397,0.043112,0.0,81.641452,22.159397,0.043112,81.839569,0.044624,0.198117,0.000108,0.042726,0.062785,2348.0,1834.0,512.0,514.0,3.568093,0.0,41.874007,0,baseline
99,88.949257,0.335658,8.63773,0.032595,8.63773,0.032595,0.0,80.311527,8.63773,0.032595,80.3931,0.056298,0.081573,5.7e-05,0.032287,1.5,1693.0,1428.0,512.0,265.0,5.388679,0.0,43.374007,0,baseline
100,104.719217,0.170831,25.549421,0.041679,25.549421,0.041679,0.0,79.169796,25.549421,0.041679,79.363291,0.023363,0.193495,5.7e-05,0.041364,1.196149,4010.0,3397.0,512.0,613.0,5.541599,0.0,44.570156,0,baseline
